Boat Year,Make,Model,Engine Make,Engine HP,Trade in Value
2021,Legend,18 XTR,Mercury,115,"$38,000.00"
2021,Legend,16 XTE SC SPORT,Mercury,90,"$23,000.00"
2021,Legend,19 Splash Cottage EXT,Mercury,90,"$32,181.00"
2021,Lowe,SS210,Mercury,60,"$32,000.00"
2021,Legend,16 XTE SPORT,Mercury,90,"$23,700.00"
2022,Sea-Doo,Spark Trixx 3 up,N/A,N/A,"$19,000.00"
2022,Legend,15 Angler,Mercury,40,"$16,000.00"
2022,Legend,15 AllSport,Mercury,50,"$23,000.00"
2022,Legend,F17,Mercury,115,"$39,850.00"
2022,Legend,15 AllSport,Mercury,50,"$25,000.00"
2022,Legend,16 XTR,Mercury,90,"$32,000.00"
2022,Legend,16 XTE SC SPORT,Mercury,60,"$26,000.00"
2022,Legend,V-Series Entertainer 27 Sport Pro,Mercury,250,"$146,108.85"
2022,Smokercraft,16 BIGFISH,Suzuki,30,"$10,500.00"
2022,Legend,F17,Mercury,90,"$35,000.00"
2022,Legend,18 XTE Sport,Mercury,90,"$28,700.00"
2022,PrinceCraft,Resorter 160 DL,Mercury,40,"$22,000.00"
2022,Legend,14 ProSport LS,Mercury,25,"$14,000.00"
2022,Legend,14 WideBody LS,Mercury,25,"$7,500.00"
2022,Legend,X20 (Cognac) with Hydraulic Steering,Mercury,150,"$60,000.00"
2022,Legend,16 ProSport LS,Mercury,30,"$16,500.00"
2022,Legend,Vibe D20,Mercury,150,"$55,000.00"
2022,Legend,X16 (Cognac),Mercury,90,"$33,355.00"
2022,Legend,16 XTR,Mercury,60,"$45,809.23"
2022,Legend,15 AllSport,Mercury,50,"$20,500.00"
2022,Legend,18 XTR,Mercury,115,"$38,000.00"
2022,Legend,Q-Series Cottage Sport PRO (Black),Mercury,115,"$60,000.00"
2022,Legend,16 XTR,Mercury,60,"$35,000.00"
2022,Princecraft,Springbok 16 WT,Mercury,25,"$7,500.00"
2022,Legend,16 XTE SC,Mercury,90,"$19,000.00"
2023,Legend,16 XTE SPORT,Mercury,60,"$48,807.14"
2023,Legend,14 ProSport LS,Mercury,20,"$21,319.96"
2023,Legend,18 XTR,Mercury,90,"$42,070.00"
2023,Legend,16 ProSport LS,Mercury,25,"$29,831.14"
2023,Legend,16 ProSport LS,Mercury,30,"$13,500.00"
2023,Legend,X18 (Cognac),Mercury,115,"$50,570.87"
2023,Legend,R15 SC,Mercury,30,"$19,000.00"
2023,Legend,16 Fun,Mercury,25,"$22,000.00"
2023,Legend,E-Series 21 Cruise (Blue),Mercury,90,"$40,000.00"
2023,Legend,E-Series 21 Cruise (Blue),Mercury,60,"$47,200.41"
2023,Legend,X16 (Cognac),Mercury,90,"$30,000.00"
2023,Legend,18 XTR,Mercury,115,"$40,000.00"
2023,Legend,Q-Series Cottage Sport PRO (Black),Mercury,150,"$61,099.30"
2023,Legend,F17,Mercury,90,"$33,500.00"
2023,Legend,16 ProSport SC,Mercury,30,"$14,000.00"
2023,Legend,16 XTE SC SPORT,Mercury,40,"$28,390.61"
2023,Armada,Topfish TF-147,Suzuki,50,"$14,000.00"
2023,Legend,F19 PRO,Mercury,150,"$52,512.72"
2023,Legend,R15 SC,Mercury,50,"$24,000.00"
2024,Legend,R15 SC,Mercury,40,"$21,000.00"
